[HEADER]
17-10-2022
11:42:16


[DATA]
[s]	[±0.008 bar]
time	pres
1.108	0.013
1.109	0.004
1.110	0.010
1.111	0.014
1.112	0.023
1.113	0.013
1.114	0.000
1.115	-0.000
1.116	0.020
1.117	0.043
1.118	0.019
1.119	0.002
1.120	0.003
1.121	-0.007
1.122	0.010
1.123	0.005
1.124	0.001
1.125	0.026
1.126	0.008
1.127	0.037
1.128	0.005
1.129	0.014
1.130	0.020
1.131	-0.010
1.132	-0.006
1.133	0.007
1.134	0.015
1.135	0.008
1.136	0.012
1.137	0.018
1.138	0.026
1.139	0.027
1.140	0.033
1.141	0.021
1.142	-0.001
1.143	0.004
1.144	0.010
1.145	-0.019
1.146	-0.023
1.147	-0.029
1.148	-0.000
1.149	0.003
1.150	0.031
1.151	0.034
1.153	0.011
1.153	0.021
1.154	0.026
1.155	0.022
1.156	0.029
1.157	0.023
1.158	-0.005
1.159	-0.018
1.160	-0.034
1.161	-0.006
1.162	0.012
1.163	0.012
1.164	-0.002
1.165	0.024
1.166	0.023
1.167	0.001
1.168	0.009
1.170	-0.014
1.170	0.001
1.171	0.023
1.172	0.027
1.173	0.015
1.174	0.018
1.175	0.021
1.176	0.027
1.177	-0.006
1.178	0.031
1.179	0.015
1.180	-0.018
1.181	-0.022
1.182	0.008
1.183	0.028
1.184	-0.007
1.185	0.009
1.187	0.020
1.187	-0.020
1.188	0.008
1.189	0.007
1.190	0.015
1.191	-0.006
1.192	-0.011
1.193	-0.029
1.194	-0.025
1.195	-0.000
1.196	0.011
1.197	-0.014
1.198	-0.012
1.199	0.013
1.200	0.012
1.201	-0.002
1.202	-0.007
1.203	0.027
1.204	-0.002
1.205	0.016
1.206	0.040
1.207	0.034
1.208	0.001
1.209	0.024
1.210	0.036
1.211	0.018
1.212	-0.008
1.213	0.012
1.214	0.009
1.215	-0.006
1.216	-0.013
1.217	0.007
1.219	0.013
1.219	0.018
1.220	0.002
1.221	0.019
1.222	-0.016
1.223	-0.003
1.224	-0.017
1.225	0.005
1.226	0.009
1.227	0.023
1.228	0.008
1.229	-0.013
1.230	0.005
1.231	-0.002
1.232	0.003
1.233	0.013
1.234	0.020
1.235	0.007
1.237	0.032
1.237	0.009
1.238	0.021
1.239	0.010
